scientific,common,season start,season end,Type,shrooms seasons
Pholiota squamosa,Shaggy Pholiota,Aug ,Nov ,Inedible,"['Autumn', 'Summer']"
Pholiota adiposa,Golden Scalycap,Apr ,Dec ,Inedible,"['Autumn', 'Spring']"
Phallus impudicus,Stinkhorn,Jun ,Nov ,Edible,"['Autumn', 'Summer']"
Phaeolus schweinitzii,Dyers Mazegill,Aug ,Oct ,Inedible,"['Autumn', 'Summer']"
Paxillus involutus,Brown Roll Rim,Aug ,Nov ,Poisonous,"['Autumn', 'Summer']"
Oudemansiella mucida,Porcelain Fungus,Aug ,Nov ,Edible,"['Autumn', 'Summer']"
Mycena rosea,Rosy Bonnet Mushroom,Jul ,Nov ,Poisonous,"['Autumn', 'Summer']"
Mycena pura,Lilac Bonnet,Jul ,Nov ,Poisonous,"['Autumn', 'Summer']"
Mycena Galericulata,Common Bonnet,All Year ,All Year ,Edible,"['Autumn', 'Spring', 'Summer', 'Winter']"
Morchella vulgaris,Common Morel,Mar ,May ,Edible,['Spring']
Morchella semilibera,Semifree Morel,Mar ,Apr ,Edible,['Spring']
Morchella importuna,Black Morel,Mar ,May ,Edible,['Spring']
Morchella esculenta,Yellow Morel,Mar ,May ,Edible,['Spring']
Meripilus giganteus,Blackening Polypore,Aug ,Nov ,Edible,"['Autumn', 'Summer']"
Marasmius oreades,Fairy Ring Champignons,Apr ,Nov ,Edible,"['Autumn', 'Spring', 'Summer']"
Macrolepiota procera,Parasol,Jun ,Sep ,Edible,"['Autumn', 'Summer']"
Lycoperdon utriformis,Mosaic Puffball,Jul ,Oct ,Edible,"['Autumn', 'Summer']"
Lycoperdon pyriforme,Stump Puffball,Jul ,Nov ,Edible,"['Autumn', 'Summer']"
Lycoperdon perlatum,Common Puffball,Jul ,Nov ,Edible,"['Autumn', 'Summer']"
Lycoperdon nigrescens,Dusky Puffball,Jul ,Sep ,Inedible,"['Autumn', 'Summer']"
Leucocybe connata,White Domecap,Jul ,Nov ,Poisonous,"['Autumn', 'Summer']"
Lepista saeva,Field Blewit,Oct ,Jan ,Edible,"['Autumn', 'Winter']"
Lepista nuda,Wood Blewit,Oct ,Feb ,Edible,"['Autumn', 'Winter']"
Lepista flaccida,Tawny Funnel Cap,Jul ,Nov ,Edible,"['Autumn', 'Summer']"
Lepiota cristata,Stinking Dapperling,Jul ,Nov ,Poisonous,"['Autumn', 'Summer']"
Laetiporus sulphureus,Chicken Of The Woods,May ,Aug ,Edible,"['Spring', 'Summer']"
Lactifluus vellereus,Fleecy Milkcap,Aug ,Nov ,Inedible,"['Autumn', 'Summer', 'Winter']"
Lactarius torminosus,Woolly Milkcap,Aug ,Oct ,Poisonous,"['Autumn', 'Summer']"
Lactarius pubescens,Bearded Milkcap,Aug ,Nov ,Poisonous,"['Autumn', 'Summer']"
Lactarius deterrimus,False Saffron Milkcap,Aug ,Nov ,Edible,"['Autumn', 'Summer']"
Lactarius deliciosus,Saffron Milkcap,Jul ,Nov ,Edible,"['Autumn', 'Summer']"
Lactarius camphoratus,Curry Scented Milkcap,Aug ,Nov ,Edible,"['Autumn', 'Summer']"
Lacrymaria lacrymabunda,Weeping Widow,Jun ,Nov ,Inedible,"['Autumn', 'Summer']"
Laccaria laccata,The Deceiver,Jun ,Nov ,Edible,"['Autumn', 'Summer']"
Laccaria amethystina,Amethyst Deceiver,Jun ,Nov ,Edible,"['Autumn', 'Summer']"
Inocybe geophylla var. lilacina,Lilac Fibrecap,Jul ,Oct ,Poisonous,"['Autumn', 'Summer']"
"Inocybe geophylla""  -""var. lilacina",White Fibrecap,Jul ,Nov ,Poisonous,"['Autumn', 'Summer']"
Inocybe erubescens,Deadly Fibrecap,May ,Sep ,Poisonous,"['Spring', 'Summer']"
Hypholoma fasciculare,Sulphur Tuft,All Year ,All Year ,Poisonous,"['Autumn', 'Spring', 'Summer', 'Winter']"
Hygrophoropsis aurantiaca,False Chanterelle,Jul ,Nov ,Poisonous,"['Autumn', 'Summer']"
Hygrocybe punicea,Crimson Waxcap,Sep ,Dec ,Edible,"['Autumn', 'Winter']"
Hygrocybe miniata,Vermillion Waxcap,Sep ,Dec ,Edible,"['Autumn', 'Winter']"
Hygrocybe conica,Blackening Waxcap,Jul ,Nov ,Inedible,"['Autumn', 'Summer']"
Hygrocybe coccinea,"Scarlet Waxcap, Scarlet Hood",Sep ,Dec ,Edible,"['Autumn', 'Winter']"
Hygrocybe chlorophana,Golden Waxcap,Aug ,Dec ,Edible,"['Autumn', 'Summer', 'Winter']"
Porpolomopsis calyptriformis,Pink Waxcap,Aug ,Dec ,Edible,"['Autumn', 'Winter']"
Gliophorus reginae,Jubilee Waxcap,Aug ,Dec ,Inedible,"['Autumn', 'Winter']"
Gliophorus psittacinus,Parrot Waxcap,Jul ,Dec ,Inedible,"['Autumn', 'Summer', 'Winter']"
Gliophorus laetus,Heath Waxcap,Aug ,Dec ,Edible,"['Autumn', 'Summer', 'Winter']"
Gliophorus irrigatus,Slimy Waxcap,Jul ,Dec ,Inedible,"['Autumn', 'Summer', 'Winter']"
Cuphophyllus virgineus,Snowy Waxcap,Sep ,Dec ,Edible,"['Autumn', 'Winter']"
Cuphophyllus pratensis,Meadow Waxcap,Sep ,Dec ,Edible,"['Autumn', 'Winter']"
Hydnum rufescens,Terracotta Hedgehog,Sep ,Dec ,Edible,"['Autumn', 'Summer']"
Hydnum repandum,Hedgehog Fungus,Aug ,Oct ,Edible,"['Autumn', 'Summer']"
Helvella lacunosa,Elfin saddle,Sep ,Nov ,Poisonous,"['Autumn', 'Summer']"
Helvella crispa,White saddle,Aug ,Dec ,Poisonous,"['Autumn', 'Summer']"
Gyromitra esculenta,False Morel,Mar ,May ,Poisonous,['Spring']
Gymnopolis penetrans,Common Rustgill,Aug ,Dec ,Inedible,"['Autumn', 'Summer', 'Winter']"
Grifola frondosa,Hen of the Woods,Aug ,Nov ,Edible,"['Autumn', 'Summer']"
Galerina marginata,Funeral Bell,Aug ,Nov ,Poisonous,"['Autumn', 'Summer']"
Flammulina velutipes,Velvet Shank,Dec ,Apr ,Edible,"['Spring', 'Winter']"
Fistulina hepatica,Beefsteak Fungus,Aug ,Nov ,Edible,"['Autumn', 'Summer']"
Echinoderma asperum,Freckled Dapperling,Aug ,Nov ,Poisonous,"['Autumn', 'Summer']"
Daldinia concentrica,King Alfred's Cakes,All Year ,All Year ,Inedible,"['Autumn', 'Spring', 'Summer', 'Winter']"
Cyclocybe cylindracea,Poplar Fieldcap,Jan ,Dec ,Edible,"['Autumn', 'Spring']"
Craterellus cornucopioides,Horn Of Plenty,Aug ,Oct ,Edible,"['Autumn', 'Summer']"
Cortinarius purpurascens,The Bruising Webcap,Aug ,Nov ,Inedible,"['Autumn', 'Summer', 'Winter']"
Cordyceps militaris,Scarlet Caterpillarclub,Aug ,Nov ,Inedible,"['Autumn', 'Summer']"
Coprinus picaceus,Magpie Fungus,Sep ,Dec ,Poisonous,"['Autumn', 'Winter']"
Coprinus comatus,Shaggy Inkcaps,Apr ,Nov ,Edible,"['Autumn', 'Spring']"
Coprinopsis atramentaria,Common Inkcap,Apr ,Nov ,Poisonous,"['Autumn', 'Spring', 'Summer']"
Coprinellus micaceus,Glistening Inkcap,Mar ,Dec ,Edible,"['Autumn', 'Spring', 'Summer', 'Winter']"
Clitopilus prunulus,The Miller,Jun ,Nov ,Edible,"['Autumn', 'Summer']"
Clitocybe nebularis,Clouded Agaric,Sep ,Dec ,Poisonous,"['Autumn', 'Winter']"
Clitocybe geotropa,Trooping Funnel,Sep ,Dec ,Edible,"['Autumn', 'Winter']"
Clitocybe dealbata,The Ivory Funnel,Jul ,Nov ,Poisonous,"['Autumn', 'Summer']"
Chlorophyllum rhacodes,Shaggy Parasol,Jul ,Nov ,Inedible,"['Autumn', 'Summer']"
cantharellus tubaeformis,Winter Chanterelle,Aug ,Dec ,Edible,"['Autumn', 'Summer', 'Winter']"
Cantharellus cibarius,Chanterelle,May ,Nov ,Edible,"['Autumn', 'Spring', 'Summer']"
Calvatia gigantea,Giant Puffball,Jul ,Sep ,Edible,['Summer']
Calocybe gambosa,St. George's Mushroom,Apr ,May ,Edible,['Spring']
Boletus reticulatus,Summer Bolete,Jun ,Aug ,Edible,['Summer']
Boletus edulis,Penny Bun,Aug ,Oct ,Edible,"['Autumn', 'Summer']"
Xerocomellus porosporus,Sepia Bolete,Aug ,Nov ,Edible,"['Autumn', 'Summer']"
Xerocomellus chrysenteron,Red Cracked Bolete,Jul ,Oct ,Edible,"['Autumn', 'Summer']"
Tylopilus felleus,Bitter Bolete,Jul ,Oct ,Inedible,"['Autumn', 'Summer']"
Suillus luteus,Slippery Jack,Aug ,Sep ,Edible,"['Autumn', 'Summer']"
Suillus grevillei,Larch Bolete,Jul ,Nov ,Edible,"['Autumn', 'Summer', 'Winter']"
Suillus bovinus,Bovine Bolete,Aug ,Nov ,Edible,"['Autumn', 'Summer']"
Suillellus Luridus,Lurid Bolete,Jul ,Oct ,Edible,"['Autumn', 'Summer']"
Neoboletus praestigiator,Scarletina Bolete,Jul ,Oct ,Edible,"['Autumn', 'Summer']"
leccinum versipelle,Orange Birch Bolete,Jul ,Nov ,Edible,"['Autumn', 'Summer']"
Leccinum scabrum,Brown Birch Bolete,Aug ,Nov ,Edible,"['Autumn', 'Summer']"
Leccinum aurantiacum,Orange Bolete,Jul ,Nov ,Edible,"['Autumn', 'Summer']"
Imleria badia,Bay Bolete,Aug ,Nov ,Edible,"['Autumn', 'Summer']"
Hortiboletus Rubellus,Ruby Bolete,Aug ,Oct ,Edible,"['Autumn', 'Summer']"
Hortiboletus bubalinus,Hortiboletus bubalinus,Jul ,Oct ,Edible,"['Autumn', 'Summer']"
Gyroporus castaneus,Chestnut Bolete,Aug ,Oct ,Edible,"['Autumn', 'Summer']"
Chalciporus piperatus,Peppery Bolete,Aug ,Oct ,Edible,"['Autumn', 'Summer']"
Caloboletus radicans,Rooting Bolete,Aug ,Oct ,Inedible,"['Autumn', 'Summer']"
Caloboletus calopus,Bitter Beech Bolete,Aug ,Nov ,Inedible,"['Autumn', 'Summer']"
Butyriboletus appendiculatus,Butter Bolete,Jul ,Oct ,Edible,"['Autumn', 'Summer']"
Auricularia auricula-judae,Wood Ears,All Year ,All Year ,Edible,"['Autumn', 'Spring', 'Summer', 'Winter']"
Aspropaxillus giganteus,Giant Funnel,Jul ,Nov ,Edible,"['Inedible', 'Autumn', 'Summer']"
Armillaria mellea,Honey Fungus,Sep ,Nov ,Edible,['Autumn']
Amanita virosa,Destroying Angel,Jul ,Nov ,Poisonous,"['Autumn', 'Summer']"
Amanita vaginata,Grisette,Jul ,Oct ,Edible,"['Autumn', 'Summer']"
Amanita rubescens,The Blusher,May ,Nov ,Edible,"['Autumn', 'Spring', 'Summer']"
Amanita Phalloides,Death Cap,Jul ,Nov ,Poisonous,"['Autumn', 'Summer']"
Amanita pantherina,Panther Cap,Jul ,Nov ,Poisonous,"['Autumn', 'Summer']"
Amanita muscaria,Fly agaric,Aug ,Dec ,Poisonous,"['Autumn', 'Summer']"
Amanita gemmata,Gemmed Amanita,May ,Nov ,Poisonous,"['Autumn', 'Spring', 'Summer']"
Amanita fulva,Tawny Grisette,Jun ,Oct ,Edible,"['Autumn', 'Summer']"
Amanita excelsa,Grey Spotted Amanita,Jul ,Oct ,Edible,"['Autumn', 'Summer']"
Amanita crocea,Orange Grisette,Jul ,Oct ,Edible,"['Autumn', 'Summer']"
Amanita citrina var citrina,False Deathcap,May ,Nov ,Inedible,"['Autumn', 'Summer']"
Amanita citrina var alba,White False Death Cap,Jul ,Nov ,Inedible,"['Autumn', 'Summer']"
Aleuria aurantia,Orange Peel Fungus,Aug ,Nov ,Edible,"['Autumn', 'Summer']"
Agaricus xanthodermus,Yellow Stainer,Jul ,Nov ,Poisonous,"['Autumn', 'Spring', 'Summer']"
Agaricus urinascens,Macro Mushroom,May ,Nov ,Edible,"['Autumn', 'Spring', 'Summer']"
Agaricus silvicola,Wood mushroom,Aug ,Nov ,Edible,"['Autumn', 'Spring', 'Summer']"
Agaricus silvaticus,The Blushing Wood Mushroom,May ,Nov ,Edible,"['Autumn', 'Spring', 'Summer']"
Agaricus moelleri,Inky Mushroom,Jun ,Oct ,Poisonous,"['Autumn', 'Summer']"
Agaricus langei,The Great Wood Mushroom,Jun ,Oct ,Edible,"['Autumn', 'Summer']"
Agaricus campestris,Field Mushroom,May ,Nov ,Edible,"['Autumn', 'Spring', 'Summer']"
Agaricus bohusii,Medusa Mushroom,Jul ,Oct ,Edible,"['Autumn', 'Summer']"
Agaricus bitorquis,Pavement Mushroom,May ,Oct ,Edible,"['Autumn', 'Spring', 'Summer']"
Agaricus augustus,The Prince,Jul ,Nov ,Edible,"['Autumn', 'Summer']"
Agaricus arvensis,Horse Mushroom,May ,Oct ,Edible,"['Autumn', 'Spring', 'Summer']"
